param_key,param_label,prior_value,prior_type,confidence,source,source_url,sweep_values,notes
mule.lifetime_days,Mule-cluster active lifetime (days),"1-180, median 30",range,low,assumed - no public dataset,,"7,30,90",Analytical assumption
noise.innocent_layer1_rate,Fraction of layer-1 accounts that are innocent victims,0.03,point,low,assumed (spec range 2-5%),,"0.02,0.03,0.05",Sweep per spec range
network.bridge_rate,Rate of bridge accounts linking clusters,0.03,point,low,assumed (spec: <5%),,"0.01,0.03,0.05",
lag.observation_hours,Bank/police observation lag (hours),24-72,range,low,"assumed; CFCFRMS/1930 enables near-real-time freezing when reported early (MHA LS USQ 251: Rs 11,158 crore saved in 32.80 lakh complaints till 30.06.2026)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2026-pdfs/LS21072026/251.pdf,"12,24,72",Hours to days per spec
geo.state_weights,State complaint weights,"MH:0.406,UP:0.403,HR:0.158,JH:0.033",categorical,high,"MHA RS USQ 1200 (30.07.2025), NCRP 2024 incidents, normalised within four demo states",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2025-pdfs/RS30072025/1200.pdf,,Matches CSV 7
footprint.locality,Cluster geographic footprint,"local,regional,multi_state",categorical,low,assumed - archetype-level (see CSV 6),,,Sweep across options
footprint.size_per_cluster,Cash-out locations per cluster,50,point,low,assumed - tens to hundreds per spec,,"20,50,200",
channels.atm_share,ATM fraction of cash-outs,0.6,point,low,assumed - unpublished channel mix,,"0.4,0.6,0.8",Sweep per spec
channels.branch_share,Branch fraction of cash-outs,0.25,point,low,assumed - unpublished channel mix,,"0.1,0.25,0.4",With atm_share and agent_share should sum to 1
channels.agent_share,AePS/agent fraction of cash-outs,0.15,point,low,assumed - unpublished channel mix,,"0.1,0.15,0.3",
caps.aeps_monthly_inr,AePS monthly cumulative cap (INR),50000,point,high,"NPCI Circular OC 87 (02.11.2023): recommended Rs 50,000 rolling 30-day cumulative for cash withdrawal and BHIM Aadhaar Pay",https://www.npci.org.in/PDF/aeps/circular/2023-24/AePS-OC-87-AePS-transaction-limits.pdf,,Extra parameter beyond required 21
load.ncrp_complaints_2024,NCRP complaints in 2024 (all cybercrime),2268346,point,high,MHA RS USQ 1200 (30.07.2025) Annexure,https://www.mha.gov.in/MHA1/Par2017/pdfs/par2025-pdfs/RS30072025/1200.pdf,,Extra anchor parameter
amounts.financial_fraud_reported_2024_inr,Reported cyber-fraud losses 2024 (INR crore),22845.73,point,high,MHA LS USQ 344 (22.07.2025),https://www.mha.gov.in/MHA1/Par2017/pdfs/par2025-pdfs/LS22072025/344.pdf,,Extra anchor parameter
amounts.digital_arrest_avg_paise,Digital-arrest average loss 2024 (paise),15647000,point,high,"RS USQ 1505 (12.03.2025): 1,23,672 incidents, Rs 1,935.51 crore in 2024",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2025-pdfs/RS12032025/1505.pdf,,Extra anchor parameter
load.upi_txn_velocity_daily,UPI daily transaction-count cap per user (NPCI/bank limits),20,point,medium,NPCI/bank published UPI per-day transaction-count caps (commonly 20/day at major banks),,"10,20,50",Varies by bank; mark medium confidence
lea.patrol_response_speed_kmh,Law enforcement patrol response vehicle speed (km/h),30-60 urban; 60-90 rural/highway,range,low,assumed; typical Indian police response vehicle speeds in urban vs rural context,,"30,50,70,90",Feeds policy.yaml travel_speed_kmh. No public dataset exists on actual LEA response speeds in India.
